id,JP,JP_reading,EN,part_of_speech,EN_sentence,JP_sentence,JP_media,JP_sentence_media,JP_pitch_accent
1,行く,いく,to go,verb,I go to the library on Sundays.,日曜日[にちようび]は 図書館[としょかん]に<b> 行[い]きます</b>。,1V.opus,1S.opus,0
2,見る,みる,"see, look at",verb,I like looking at pictures.,私[わたし]は 絵[え]を<b> 見[み]る</b>のが 好[す]きです。,2V.opus,2S.opus,1
3,多い,おおい,"a lot of, many",adjective,There are a lot of temples in Kyoto.,京都[きょうと]にはお 寺[てら]が<b> 多[おお]い</b>。,3V.opus,3S.opus,1
4,家,うち,"home, household",noun,Please come over to my home.,<b> 家[うち]</b>に 遊[あそ]びに 来[き]てください。,4V.opus,4S.opus,0
5,これ,これ,"this, this one",pronoun,I'll have this please.,<b>これ</b>をください。,5V.opus,5S.opus,0
6,それ,それ,"that, that one",pronoun,That's a really nice story.,<b>それ</b>はとってもいい 話[はなし]だ。,6V.opus,6S.opus,0
7,私,わたし,I (general),pronoun,I'll go.,<b> 私[わたし]</b>が 行[い]きましょう。,7V.opus,7S.opus,0
8,仕事,しごと,"work, job",verbal noun,I'm busy at work in March.,３ 月[がつ]は<b> 仕事[しごと]</b>が 忙[いそが]しい。,8V.opus,8S.opus,0
9,いつ,いつ,when&nbsp;(hiragana). General question word for time.,interrogative,When is she coming?,彼女[かのじょ]は<b>いつ</b> 来[き]ますか。,9V.opus,9S.opus,1
10,する,する,"do, make",verb,I did my homework with my friend.,友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。,10V.opus,10S.opus,0
11,出る,でる,"go out, leave",verb,I left the house early this morning.,今朝[けさ]は 早[はや]く 家[いえ]を<b> 出[で]ました</b>。,11V.opus,11S.opus,1
12,使う,つかう,use,verb,Please use this computer.,このパソコンを<b> 使[つか]って</b>ください。,12V.opus,12S.opus,0
13,所,ところ,place,noun,I stayed at my friend's place for the night.,私[わたし]は 友達[ともだち]の<b> 所[ところ]</b>に 泊[と]まった。,13V.opus,13S.opus,0
14,作る,つくる,"make, create",verb,I'm making breakfast now.,今[いま]、 朝[あさ]ご 飯[はん]を<b> 作[つく]って</b>います。,14V.opus,14S.opus,2
